date,players,viewers
18-Oct-2008,0,0
19-Oct-2008,14212,0
20-Oct-2008,0,0
21-Oct-2008,9746,0
22-Oct-2008,0,0
23-Oct-2008,5243,0
24-Oct-2008,9236,0
25-Oct-2008,14222,0
26-Oct-2008,12904,0
27-Oct-2008,0,0
28-Oct-2008,0,0
29-Oct-2008,9411,0
30-Oct-2008,0,0
31-Oct-2008,0,0
1-Nov-2008,0,0
2-Nov-2008,0,0
3-Nov-2008,6159,0
4-Nov-2008,6853,0
5-Nov-2008,0,0
6-Nov-2008,0,0
7-Nov-2008,0,0
8-Nov-2008,6524,0
9-Nov-2008,0,0
10-Nov-2008,0,0
11-Nov-2008,0,0
12-Nov-2008,0,0
13-Nov-2008,3475,0
14-Nov-2008,0,0
15-Nov-2008,0,0
16-Nov-2008,0,0
17-Nov-2008,0,0
18-Nov-2008,0,0
19-Nov-2008,0,0
20-Nov-2008,0,0
21-Nov-2008,0,0
22-Nov-2008,0,0
23-Nov-2008,0,0
24-Nov-2008,0,0
25-Nov-2008,0,0
26-Nov-2008,0,0
27-Nov-2008,0,0
28-Nov-2008,0,0
29-Nov-2008,0,0
30-Nov-2008,0,0
1-Dec-2008,0,0
2-Dec-2008,4000,0
3-Dec-2008,0,0
4-Dec-2008,0,0
5-Dec-2008,0,0
6-Dec-2008,10942,0
7-Dec-2008,0,0
8-Dec-2008,0,0
9-Dec-2008,0,0
10-Dec-2008,5681,0
11-Dec-2008,0,0
12-Dec-2008,0,0
13-Dec-2008,0,0
14-Dec-2008,0,0
15-Dec-2008,0,0
16-Dec-2008,11333,0
17-Dec-2008,10751,0
18-Dec-2008,0,0
19-Dec-2008,0,0
20-Dec-2008,0,0
21-Dec-2008,0,0
22-Dec-2008,0,0
23-Dec-2008,0,0
24-Dec-2008,0,0
25-Dec-2008,0,0
26-Dec-2008,0,0
27-Dec-2008,0,0
28-Dec-2008,0,0
29-Dec-2008,0,0
30-Dec-2008,0,0
31-Dec-2008,0,0
1-Jan-2009,0,0
2-Jan-2009,0,0
3-Jan-2009,0,0
4-Jan-2009,0,0
5-Jan-2009,0,0
6-Jan-2009,0,0
7-Jan-2009,0,0
8-Jan-2009,0,0
9-Jan-2009,0,0
10-Jan-2009,0,0
11-Jan-2009,0,0
12-Jan-2009,0,0
13-Jan-2009,0,0
14-Jan-2009,0,0
15-Jan-2009,0,0
16-Jan-2009,5492,0
17-Jan-2009,0,0
18-Jan-2009,0,0
19-Jan-2009,0,0
20-Jan-2009,0,0
21-Jan-2009,0,0
22-Jan-2009,0,0
23-Jan-2009,0,0
24-Jan-2009,12613,0
25-Jan-2009,0,0
26-Jan-2009,0,0
27-Jan-2009,0,0
28-Jan-2009,0,0
29-Jan-2009,0,0
30-Jan-2009,0,0
31-Jan-2009,0,0
1-Feb-2009,8451,0
2-Feb-2009,6467,0
3-Feb-2009,0,0
4-Feb-2009,0,0
5-Feb-2009,0,0
6-Feb-2009,0,0
7-Feb-2009,13745,0
8-Feb-2009,11816,0
9-Feb-2009,0,0
10-Feb-2009,0,0
11-Feb-2009,0,0
12-Feb-2009,0,0
13-Feb-2009,0,0
14-Feb-2009,12971,0
15-Feb-2009,0,0
16-Feb-2009,0,0
17-Feb-2009,0,0
18-Feb-2009,0,0
19-Feb-2009,6538,0
20-Feb-2009,0,0
21-Feb-2009,0,0
22-Feb-2009,0,0
23-Feb-2009,0,0
24-Feb-2009,7343,0
25-Feb-2009,0,0
26-Feb-2009,24366,0
27-Feb-2009,0,0
28-Feb-2009,0,0
1-Mar-2009,0,0
2-Mar-2009,0,0
3-Mar-2009,16560,0
4-Mar-2009,14840,0
5-Mar-2009,0,0
6-Mar-2009,0,0
